Product ID,Category,Product Description,Quantity Type,Case Size,Price,Quantity,Favourite
113187246,Cleaning Tools & Accessories,Buzz Stainless Steel Scourers 6pk (Clipstrip),CS,12,8.4,,
114224846,Other Grocery,Elbow Grease Scrubbing Pad,CS,12,7.2,,
114822977,Other Grocery,M Digestives 400g,CS,17,10.03,,
113251295,Snacks & Crisps,Lisseau Assorted Body Puffs Neutral 3pk,CS,12,8.4,,
114156302,Alcohol,Pub Originals Scampi Bites 40g,CS,24,18,,
114878591,Other Grocery,Comfort Pure Sensitive Conditioner 31 Washes 930ml,CS,8,12.08,,
107550651,Other Grocery,Oreo Golden 154g,CS,16,12.5,,
115034286,Other Grocery,I Heart Bubbly 75cl,CS,6,27.72,,
108870446,Breakfast Cereals & Muesli,M Golden Syrup Porridge 55g,CS,8,3.6,,
114783402,Other Grocery,Dragon Soop Peach & Raspberry 500ml £3.49 PMP,CS,8,18.88,,
114703290,Other Grocery,White Claw Green Apple 330ml,CS,12,16.8,,
114783007,Other Grocery,Dragon Soop Strawberry & Lime 500ml £3.49 PMP,CS,8,18.88,,
113450235,Other Grocery,Hobgoblin Ruby 4x440ml,CS,6,21,,
114807494,Other Grocery,KitKat 2 Finger Milk 8x20.7g,CS,20,23.2,,
111508763,Other Grocery,Nandos Peri Peri Rub Medium 25g,CS,12,10.68,,
114807638,Other Grocery,KitKat 2 Finger White 8x20.7g,CS,20,23.2,,
113095886,Alcohol,Jack Daniels & Coca-Cola Zero Sugar 330ml (5%),CS,12,18.6,,
114837669,Soft Drinks & Juice,Bacardi & Coca-Cola 250ml,CS,12,18,,
114961192,Alcohol,Jack Daniels & Coca-Cola Cherry 330ml (5%),CS,12,18.6,,
114848253,"Tea, Coffee & Sweeteners",Nescafe Latte Instant Coffee 7pk 126g,CS,6,8.25,,
114848309,"Tea, Coffee & Sweeteners",Nescafe Latte Caramel Instant Coffee 7pk 119g,CS,6,8.25,,
114848456,"Tea, Coffee & Sweeteners",Nescafe Latte Vanilla Instant Coffee 7pk 129.5g,CS,6,8.25,,
114848085,"Tea, Coffee & Sweeteners",Nescafe Cappuccino Unsweetened Coffee 7x99.4g,CS,6,8.25,,
114849029,"Tea, Coffee & Sweeteners",Nescafe Cappuccino Instant Coffee 7pk 108.5g,CS,6,8.25,,
114847980,"Tea, Coffee & Sweeteners",Nescafe Cappuccino Decaf Unsweet Coffee 7pk 105g,CS,6,8.25,,
114515782,Other Grocery,M Light Salad Cream 420g,CS,12,12.48,,
114491750,"Condiments, Sauces & Chutneys",M BBQ Sauce 450g,CS,12,12,,
114800621,Energy Drinks,Boost Energy Sugar Free 250ml,CS,24,8.22,,
114801228,Energy Drinks,Boost Energy Red Berry 250ml,CS,24,8.44,,
114799973,Alcohol,Boost Energy Original 250ml,CS,24,8.22,,
115023413,Alcohol,Absolut Vodka & Sprite Watermelon 250ml,CS,12,18,,
114750379,Other Grocery,M Best All Butter Fruit & Oat Cookies 200g,CS,6,11.46,,
114973556,Other Grocery,Nescafe Gold Blend Signature Jar 190g,CS,6,47.52,,
114492488,"Condiments, Sauces & Chutneys",M Brown Sauce 440g,CS,12,11.76,,
114489932,Other Grocery,M Salad Cream 420g,CS,12,12.84,,
114489941,"Condiments, Sauces & Chutneys",M Savers Brown Sauce 450g,CS,12,11.16,,
114924148,Other Grocery,Skittles Citrus 136g,CS,15,10.3,,
114492007,Other Grocery,M Savers Salad Cream 420g,CS,12,12.12,,
114827217,Other Grocery,Reeses Peanut Butter Bar White 90g,CS,16,14,,
115070375,Other Grocery,Chewits Xtreme Sour Apple Juicy Bites 115g,CS,10,7.1,,
114952131,Other Grocery,Kopparberg Strawberry & Lime 500ml,CS,8,13.44,,
109306927,Other Grocery,Nescafe Dolce Gusto Choccohino 16 Pods 160g,CS,3,10.15,,
115085163,Alcohol,Coors 10x440ml (3.4%),CS,1,5.5,,
114775841,"Condiments, Sauces & Chutneys",Hellmanns Spcy Mexican Sauce 250ml,CS,8,17.04,,
112889967,Other Grocery,Nescafe Dolce Gusto Americano Decaff 16 Pods 128g,CS,3,10.15,,
115085139,Alcohol,Coors 4x440ml (3.4%),CS,6,16,,
109306847,Other Grocery,Nescafe Dolce Gusto au Lait Intenso 16 Pods 160g,CS,3,10.15,,
113894944,Other Grocery,Nescafe Dolce Gusto Espresso Roma 16 Pods,CS,3,10.15,,
114952405,Other Grocery,Kopparberg Mixed Fruit 500ml,CS,8,13.44,,
113369550,Other Grocery,Nescafe Dolce Gusto Americano Intenso 16 Pods,CS,3,10.15,,
113864956,Other Grocery,M Olive Oil 1l,CS,8,35.92,,
107285157,Other Grocery,Daim 3x28g,CS,24,27.6,,
112374023,Other Grocery,Frys Peppermint Cream 3pk,CS,16,18.4,,
112374795,Soft Drinks & Juice,Frys Chocolate Cream 3pk,CS,16,18.4,,
110425325,Other Grocery,M Chip Shop Mushy Peas 400g,CS,24,12,,
100465180,Other Grocery,Heinz Beanz Snap Pots 4x200g,CS,6,15,,
113656330,Other Grocery,Frys Turkish Delight 3pk,CS,24,27.6,,
115016889,Alcohol,Cushelle Original 6 = 9 Regular Rolls,CS,5,19.05,,
